phase,format,item,trial,duration_ms,status
QUERY,parquet,q81,1,8401,OK
QUERY,parquet,q82,1,19898,OK
QUERY,parquet,q83,1,7337,OK
QUERY,parquet,q84,1,7018,OK
QUERY,parquet,q85,1,9201,OK
QUERY,parquet,q86,1,8211,OK
QUERY,parquet,q87,1,13926,OK
QUERY,parquet,q88,1,163071,OK
QUERY,parquet,q89,1,19719,OK
QUERY,parquet,q90,1,29694,OK
QUERY,parquet,q91,1,6844,OK
QUERY,parquet,q92,1,8619,OK
QUERY,parquet,q93,1,24119,OK
QUERY,parquet,q94,1,11449,OK
QUERY,parquet,q95,1,19667,OK
QUERY,parquet,q96,1,51206,OK
QUERY,parquet,q97,1,13909,OK
QUERY,parquet,q98,1,15862,OK
QUERY,parquet,q99,1,12246,OK
